param_set,Nb,N,u_per_site,Gs,n_shared_mutations
0_rep0,262,257274169,4.5973543014434345e-09,6738,16
10000_rep0,400,183328897,9.966870587306053e-09,4995,42
10001_rep0,6,5045000353,1.2963291422536864e-09,5109,3
10002_rep0,71,1307748006,4.105962200564412e-09,801,4
10003_rep0,1,845554778,3.118546318866484e-09,9274,1
10004_rep0,17,338750428,4.692384232227564e-09,7976,6
10005_rep0,658,2920848196,1.9213943087771012e-09,2137,21
10007_rep0,118,145390847,1.4616075063750695e-09,3504,2
10008_rep0,4,116969897,3.302242516349398e-09,1356,2
10009_rep0,81,7626718113,2.5407701871751876e-09,8739,3
1000_rep0,9,148389564,5.554288297669358e-09,4948,3
10010_rep0,26,2050844082,7.94872374200156e-09,3069,4
10011_rep0,462,559021784,1.0460910745419826e-09,7055,11
10012_rep0,45,683282822,6.5270606410386774e-09,5873,5
10013_rep0,1,1396715787,1.5951156946165835e-09,4211,1
10014_rep0,259,3495079143,4.967852063392547e-09,9765,15
10016_rep0,1,291034395,7.030976061352573e-09,3708,6
10017_rep0,49,3346152996,1.7104655917388054e-09,6377,1
10018_rep0,7,1438792499,5.351860450252969e-09,2031,6
10019_rep0,280,704116698,2.2269995554798496e-09,8102,6
1001_rep0,241,7196608121,2.326853201742218e-09,5137,16
10020_rep0,168,495809063,3.5415558176130276e-09,9090,2
10021_rep0,2,1819585182,2.736555487619688e-09,1005,1
10022_rep0,958,8407730563,8.52401862883966e-09,5234,101
10023_rep0,15,128902452,1.1267991863142271e-09,4889,3
10024_rep0,608,139228423,4.357817691506424e-09,242,45
10026_rep0,109,3009306048,5.677097721876362e-09,4395,10
10028_rep0,11,750275183,9.297505443826424e-09,7161,8
10029_rep0,192,1160143802,1.203737186602242e-09,2943,5
1002_rep0,1,2873105915,7.247864176789665e-09,791,6
10031_rep0,34,202062265,2.8956475266100674e-09,1539,1
10033_rep0,502,4822869775,2.944150727886567e-09,4434,34
10034_rep0,5,1007589166,9.463958097068364e-09,8905,7
10035_rep0,90,868722648,1.270788869995515e-09,1208,2
10036_rep0,221,401873750,6.4481974610440764e-09,2352,6
10038_rep0,39,5833104125,4.766433665838335e-09,3445,5
10039_rep0,1,160531944,2.033239608352751e-09,6659,1
10040_rep0,66,111832258,7.500919782909856e-09,8217,8
10042_rep0,378,2106837531,3.2395141721158232e-09,7421,19
10043_rep0,5,430632801,2.4108298380269486e-09,2663,3
10044_rep0,3,607954825,5.0605843628341825e-09,4000,4
10045_rep0,132,1657051225,2.1916749769611353e-09,6123,4
10046_rep0,20,3858067467,6.911737752833777e-09,424,4
10047_rep0,750,251573486,1.6191780849927566e-09,9671,15
10048_rep0,14,241539844,8.489451302132661e-09,1804,4
10049_rep0,844,3735589792,1.141246508368063e-09,8261,13
1004_rep0,495,859303368,8.268951413420625e-09,7850,49
10050_rep0,2,1726810876,3.631557563742367e-09,2600,3
10051_rep0,150,627529363,2.643983350877946e-09,7514,8
10052_rep0,332,448322515,5.3061116201655314e-09,6021,21
10053_rep0,8,2172504881,2.265941562759457e-09,4053,2
10054_rep0,59,9345443211,7.178178435534821e-09,9598,7
10056_rep0,35,154024307,3.879520803580239e-09,4546,3
10057_rep0,2,5650439250,2.8839037862966806e-09,5588,3
10058_rep0,202,2706498512,8.982992954650221e-09,1271,27
10059_rep0,12,415109625,1.2343286812841898e-09,8814,1
1005_rep0,31,1329478789,1.0906376413701135e-09,2244,2
10060_rep0,3,903793939,5.776373530103497e-09,7824,6
10061_rep0,98,1039454226,1.3516680982188071e-09,2299,4
10062_rep0,21,4633236814,4.229220558050283e-09,6731,1
10063_rep0,557,226667304,1.8296139215373726e-09,3363,15
10064_rep0,1,195758473,4.800986206967393e-09,9935,2
10065_rep0,48,5334651318,2.000034214456718e-09,150,2
10066_rep0,10,1198165306,6.307375622891577e-09,5782,9
10067_rep0,272,781417828,1.536118538206395e-09,4352,2
10068_rep0,77,360016139,9.4887357797099e-09,3015,6
1006_rep0,87,4939229636,3.412478914716902e-09,6474,3
10070_rep0,436,6544322955,3.9423090853329735e-09,1641,21
10071_rep0,28,133733047,3.049720849023284e-09,8482,4
10072_rep0,698,124795106,6.798862891612438e-09,6314,47
10073_rep0,16,8071397914,1.6309169494210787e-09,3800,1
10074_rep0,124,1878465668,5.2189944040082395e-09,7991,7
10075_rep0,2,516764158,2.14381027729592e-09,2075,1
10076_rep0,6,725973111,3.201118526769401e-09,932,2
10077_rep0,380,1497713480,2.417139976124532e-09,9172,8
10078_rep0,1,3243617512,7.769890014870155e-09,4787,3
1007_rep0,5,179624116,2.6191114145320286e-09,3649,4
10080_rep0,183,313486002,3.4323037696224573e-09,8666,6
10081_rep0,11,3636063566,2.6039822766337353e-09,1437,1
10082_rep0,32,1354664262,8.33176454026706e-09,6953,5
10083_rep0,2,656402771,1.0824159987177243e-09,3121,3
10084_rep0,23,541498658,7.323409995278131e-09,4148,3
10085_rep0,644,1967683290,1.748955345881436e-09,5965,15
